epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8205,2.20455,6.89467,1.89386,0.0007,0.93333,0.19676,0.03539,1.31024,16.3416,1.39088,0.00028,0.00028,0.00028
2,154.725,1.77917,8.767,1.59352,0.00075,1,0.36392,0.12262,1.11961,15.0338,1.28278,0.000574258,0.000574258,0.000574258
3,229.754,1.89965,5.81089,1.64796,0.00075,1,0.06994,0.02449,1.27363,16.8337,1.21748,0.000862576,0.000862576,0.000862576
4,303.745,1.88901,5.57146,1.74959,0.36688,0.26667,0.27066,0.0464,1.72773,17.1804,2.9822,0.00114495,0.00114495,0.00114495
5,378.826,2.05339,5.26637,1.82168,0.24122,0.2,0.17213,0.04176,1.62529,25.0213,2.86704,0.00142139,0.00142139,0.00142139
6,453.545,1.88865,4.42758,1.69589,0.26278,0.26667,0.10576,0.021,1.48326,23.9437,1.94627,0.00169189,0.00169189,0.00169189
7,527.481,1.78815,4.1477,1.66056,0.00817,0.2,0.00394,0.00092,2.13155,12.9216,2.43518,0.0018812,0.0018812,0.0018812
8,602.366,1.98173,4.15841,1.70558,0.00012,0.13333,0.00011,3e-05,3.12817,9.45383,6.27405,0.0018614,0.0018614,0.0018614
9,678.851,1.96333,3.90331,1.69939,0.0002,0.26667,0.00016,4e-05,3.08554,30.5359,5.80465,0.0018416,0.0018416,0.0018416
10,754.451,2.01186,5.16934,1.9084,0.00013,0.13333,9e-05,2e-05,2.60468,10.1374,3.45085,0.0018218,0.0018218,0.0018218
11,830.607,2.01291,3.47472,1.80041,0.12127,0.13333,0.0706,0.01847,1.60007,14.8312,1.61198,0.001802,0.001802,0.001802
12,907.597,1.85517,3.2908,1.7405,0.069,0.13333,0.06284,0.01507,1.97944,7.11998,1.94063,0.0017822,0.0017822,0.0017822
13,984.597,1.78581,2.73307,1.6529,0.26662,0.33333,0.19243,0.05121,1.51524,10.0443,1.51081,0.0017624,0.0017624,0.0017624
14,1063.07,1.82081,3.01186,1.6754,0.01995,0.13333,0.01881,0.00631,1.40786,31.1972,1.58168,0.0017426,0.0017426,0.0017426
15,1142.52,1.80998,2.44462,1.58886,0.05077,0.06667,0.02519,0.00942,1.94226,9.30477,1.71302,0.0017228,0.0017228,0.0017228
16,1221.52,1.79728,2.67409,1.61497,0.18709,0.26667,0.11557,0.03873,1.56315,4.69677,1.47609,0.001703,0.001703,0.001703
17,1301.97,1.84839,2.72081,1.67309,0.27211,0.46667,0.22691,0.0916,1.38167,4.3361,1.31793,0.0016832,0.0016832,0.0016832
18,1383.83,1.86558,2.31612,1.67639,0.31358,0.6,0.31739,0.12428,1.16782,4.18231,1.12257,0.0016634,0.0016634,0.0016634
19,1464.19,1.68677,2.2647,1.56667,0.15686,0.53333,0.17999,0.06584,1.29635,6.72272,1.1563,0.0016436,0.0016436,0.0016436
20,1544.74,1.7031,2.05716,1.56243,0.46421,0.8,0.52078,0.278,1.08678,3.36142,1.06044,0.0016238,0.0016238,0.0016238
21,1625.72,1.64258,1.99379,1.48816,0.65816,0.64284,0.62734,0.25393,1.24477,2.45254,1.08666,0.001604,0.001604,0.001604
22,1706.76,1.7282,2.01091,1.55891,0.8877,0.52761,0.6522,0.29482,1.08417,2.38013,1.04425,0.0015842,0.0015842,0.0015842
23,1786.93,1.6266,2.06841,1.55874,0.42605,0.33333,0.366,0.16381,1.1383,2.16942,1.09861,0.0015644,0.0015644,0.0015644
24,1867.01,1.66498,1.94484,1.52532,0.62638,0.46667,0.43763,0.15461,1.20654,2.80475,1.1799,0.0015446,0.0015446,0.0015446
25,1947.25,1.6967,1.852,1.63106,0.68514,0.6,0.55998,0.29252,1.15099,2.11519,1.10788,0.0015248,0.0015248,0.0015248
26,2027.95,1.65767,1.94487,1.48359,0.19148,0.33333,0.13662,0.04072,1.75394,2.75774,2.12002,0.001505,0.001505,0.001505
27,2107.97,1.59902,1.70137,1.50781,0.61726,0.53333,0.56498,0.19766,1.11995,2.27247,1.10056,0.0014852,0.0014852,0.0014852
28,2187.99,1.65876,1.72912,1.50553,0.52897,0.8,0.67587,0.26946,1.24614,2.45017,1.15501,0.0014654,0.0014654,0.0014654
29,2268.17,1.70035,1.91125,1.55763,0.55903,0.6,0.56122,0.22305,1.46624,2.77846,1.30827,0.0014456,0.0014456,0.0014456
30,2348.93,1.61632,1.82376,1.49915,0.63252,0.73333,0.71059,0.29495,1.11041,2.64879,1.09882,0.0014258,0.0014258,0.0014258
31,2432.06,1.60543,1.85409,1.45895,0.55272,0.73333,0.65629,0.28932,1.02565,1.89272,0.99482,0.001406,0.001406,0.001406
32,2513.16,1.57582,1.67791,1.42916,0.69947,0.46561,0.41469,0.23001,1.1311,2.01611,1.01333,0.0013862,0.0013862,0.0013862
33,2593.98,1.65902,1.58205,1.4134,0.51797,0.50261,0.44896,0.22186,1.09457,1.78187,1.0189,0.0013664,0.0013664,0.0013664
34,2675.13,1.63655,1.82159,1.55358,0.8257,0.31806,0.44063,0.1344,1.16587,2.0697,1.09951,0.0013466,0.0013466,0.0013466
35,2756,1.70484,1.81512,1.55584,0.4693,0.6,0.46551,0.22105,1.32887,1.83136,1.1889,0.0013268,0.0013268,0.0013268
36,2836.95,1.48634,1.69529,1.39142,0.89604,0.57627,0.70815,0.37127,1.06815,1.43612,0.98418,0.001307,0.001307,0.001307
37,2917.94,1.57183,1.49705,1.44459,0.62016,0.54492,0.67357,0.33987,1.06257,1.41904,0.97479,0.0012872,0.0012872,0.0012872
38,2998.31,1.4156,1.61194,1.40813,0.96603,0.6,0.705,0.36374,1.05266,1.36553,0.94272,0.0012674,0.0012674,0.0012674
39,3078.96,1.56393,1.63682,1.40553,0.95296,0.6,0.76366,0.38891,1.00934,1.38781,0.94842,0.0012476,0.0012476,0.0012476
40,3158.99,1.63021,1.70686,1.43584,0.68057,0.6,0.68341,0.34224,1.09479,1.28283,0.98302,0.0012278,0.0012278,0.0012278
41,3239.31,1.42294,1.49725,1.38871,0.89803,0.73333,0.83385,0.39265,1.05921,1.14626,0.98122,0.001208,0.001208,0.001208
42,3319.86,1.63402,1.53873,1.43737,0.86233,0.83632,0.85729,0.41681,1.03622,1.1723,0.99195,0.0011882,0.0011882,0.0011882
43,3400.25,1.40949,1.4787,1.34636,0.75472,0.73333,0.74421,0.41143,1.11412,1.17155,0.99714,0.0011684,0.0011684,0.0011684
44,3480.6,1.47472,1.56521,1.41645,0.52939,0.73333,0.52731,0.19077,1.30641,1.72762,1.09307,0.0011486,0.0011486,0.0011486
45,3560.95,1.35206,1.37773,1.31992,0.71073,0.86667,0.78564,0.4074,1.03327,1.06442,0.98055,0.0011288,0.0011288,0.0011288
46,3641.37,1.40471,1.29872,1.33087,0.92161,0.7848,0.85041,0.46232,0.94673,1.08231,0.91851,0.001109,0.001109,0.001109
47,3721.64,1.40916,1.32148,1.35874,0.76178,0.85342,0.86577,0.45791,1.01738,1.0145,0.97726,0.0010892,0.0010892,0.0010892
48,3802.68,1.3847,1.34768,1.32269,0.80153,0.80816,0.84489,0.45186,0.97809,1.01548,0.93007,0.0010694,0.0010694,0.0010694
49,3882.71,1.49145,1.34978,1.36735,0.68282,0.86138,0.78818,0.41406,1.0057,1.02515,0.95242,0.0010496,0.0010496,0.0010496
50,3962.78,1.41631,1.33125,1.32256,0.78878,0.74765,0.85702,0.42687,0.97758,1.19442,0.91464,0.0010298,0.0010298,0.0010298
