epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.076,0.78959,2.19448,1.23484,0.96417,0.32232,0.75951,0.52806,0.84703,2.8046,1.50143,0.00056,0.00056,0.00056
2,313.18,0.85655,1.49343,1.26677,0.47731,0.56287,0.42867,0.24277,1.35931,2.98139,2.52308,0.00112871,0.00112871,0.00112871
3,469.433,0.90563,1.4073,1.30869,0.52007,0.5321,0.48168,0.21358,1.30207,2.85448,2.62283,0.00168594,0.00168594,0.00168594
4,625.271,0.87636,1.249,1.28804,0.09723,0.11377,0.05427,0.01814,2.32989,3.56269,3.98622,0.0019406,0.0019406,0.0019406
5,784.843,0.89805,1.22286,1.30315,0.29754,0.2515,0.22267,0.11891,1.90788,3.27933,3.25209,0.0019208,0.0019208,0.0019208
6,947.48,0.8809,1.09603,1.26554,0.21279,0.26347,0.13619,0.05188,2.42149,4.18733,3.69423,0.001901,0.001901,0.001901
7,1110.95,0.82671,1.0018,1.25063,0.72811,0.7485,0.78545,0.56938,0.84533,1.2885,1.434,0.0018812,0.0018812,0.0018812
8,1278.3,0.89798,1.04405,1.27928,0.52155,0.46707,0.46268,0.24964,1.2469,2.30153,1.81342,0.0018614,0.0018614,0.0018614
9,1451.92,0.83414,0.96705,1.24921,0.59443,0.64946,0.54254,0.20041,1.72257,2.05918,2.26106,0.0018416,0.0018416,0.0018416
10,1623.93,0.77863,0.87151,1.19764,0.66345,0.73054,0.73759,0.50995,0.94618,1.44372,1.51195,0.0018218,0.0018218,0.0018218
11,1795.95,0.75049,0.82942,1.18585,0.70953,0.7006,0.69443,0.47162,1.01194,1.27998,1.59147,0.001802,0.001802,0.001802
12,1965.84,0.78212,0.91077,1.22362,0.69407,0.81437,0.73898,0.49326,0.93272,1.17728,1.54895,0.0017822,0.0017822,0.0017822
13,2137.85,0.77758,0.87056,1.20564,0.45194,0.32335,0.22148,0.07073,2.67941,2.73681,5.70918,0.0017624,0.0017624,0.0017624
14,2312.29,0.75482,0.80929,1.18393,0.7986,0.85629,0.85746,0.64264,0.75848,0.93709,1.27477,0.0017426,0.0017426,0.0017426
15,2485.48,0.74233,0.83863,1.19235,0.84712,0.73653,0.81968,0.62791,0.75854,0.87854,1.33969,0.0017228,0.0017228,0.0017228
16,2658.15,0.7371,0.79217,1.19808,0.677,0.64072,0.67441,0.44427,1.09238,1.31002,1.88727,0.001703,0.001703,0.001703
17,2831.97,0.73101,0.8043,1.18499,0.73321,0.85576,0.84179,0.62425,0.73184,0.85692,1.29073,0.0016832,0.0016832,0.0016832
18,3002.66,0.69678,0.73335,1.16545,0.84445,0.84524,0.87107,0.67349,0.75307,0.75639,1.32738,0.0016634,0.0016634,0.0016634
19,3175.55,0.71899,0.73906,1.15043,0.78204,0.90419,0.87218,0.6898,0.72118,0.72261,1.24332,0.0016436,0.0016436,0.0016436
20,3350.65,0.72482,0.80044,1.17863,0.77269,0.79386,0.81658,0.58054,1.04628,0.87628,1.76087,0.0016238,0.0016238,0.0016238
21,3519.49,0.68648,0.70608,1.1655,0.57781,0.57368,0.48548,0.31994,1.27087,1.64309,2.05022,0.001604,0.001604,0.001604
22,3692.94,0.67812,0.68948,1.14018,0.70381,0.82529,0.83697,0.63879,0.77981,0.84127,1.30062,0.0015842,0.0015842,0.0015842
23,3863.55,0.65529,0.67004,1.14523,0.81652,0.78443,0.82595,0.65506,0.80964,0.78665,1.37663,0.0015644,0.0015644,0.0015644
24,4035.47,0.63968,0.66036,1.10953,0.83543,0.88152,0.89228,0.68124,0.78651,0.67949,1.36603,0.0015446,0.0015446,0.0015446
